,Q1S,Q2S,Q3S,Q4S,Q5S,Q6S,Q7S,Q8S,Q9S,Q10S,Q11S,Q12S,Q13S,Q14S,Q15S,Q16S,Q17S,Q18S,Q19S,Q20S,Q21S,Q22S,Q23S,Q24S,Q25S,Q26S,Q27S,Q28S,Q29S,Q30S,Q31S,Q32S,age,gender,engnat
16445,5,3,5,4,5,3,5,3,2,3,2,3,3,5,0,3,3,3,0,3,5,3,1,3,0,2,4,3,3,4,5,2,22,1,1
16446,5,5,5,4,5,4,2,1,3,1,3,0,4,4,-2,2,5,4,3,5,3,1,2,1,2,4,3,5,4,3,3,3,18,2,1
16447,4,5,4,2,4,3,1,0,4,5,3,-2,1,3,-1,2,4,5,1,4,4,2,1,2,0,5,2,0,1,2,5,1,74,2,1
16448,3,5,4,3,4,4,3,5,2,4,2,4,3,5,1,2,4,4,4,5,4,2,2,4,0,3,3,4,3,4,2,3,33,1,1
16449,4,0,5,5,5,4,4,5,4,3,4,3,3,5,3,3,3,3,1,5,4,5,1,4,1,5,3,5,2,3,5,3,19,1,1
16450,3,5,5,5,5,3,1,3,3,5,3,5,5,5,3,3,5,3,1,5,3,5,1,5,3,3,3,5,3,5,5,5,32,1,1
16451,5,2,2,4,5,2,4,1,3,5,1,2,3,5,1,1,3,0,1,4,3,1,2,-1,-1,1,3,3,1,1,4,1,28,2,2
16452,5,5,5,0,5,5,2,5,5,5,2,5,4,5,4,1,5,4,3,5,5,3,4,5,4,5,3,3,4,5,4,5,53,1,1
16453,1,2,4,1,1,3,0,3,3,5,4,3,1,5,-1,1,2,1,0,2,3,3,4,1,-1,1,3,5,0,1,1,0,18,1,2
16454,3,4,5,4,5,4,2,4,0,4,1,1,2,3,0,2,5,1,3,1,2,1,2,2,3,2,3,4,4,2,4,5,21,2,1
16455,3,5,5,3,3,5,-1,3,1,-3,-1,1,3,3,-1,-1,5,3,-1,0,3,-1,1,-1,-1,1,1,3,3,1,5,1,19,2,1
16456,5,5,4,3,3,5,0,3,1,1,2,1,4,3,0,2,3,1,3,2,3,1,3,1,1,2,1,5,2,2,3,1,16,1,1
16457,1,1,1,1,4,3,2,0,2,3,3,3,2,5,1,3,2,3,0,3,4,2,1,1,0,3,3,5,1,2,1,0,20,1,2
16458,2,0,3,3,4,3,3,4,3,2,2,4,4,4,-2,3,4,3,3,1,4,0,2,4,1,4,3,4,3,2,0,3,30,1,2
16459,3,3,4,2,3,3,1,1,1,1,2,1,1,4,0,1,4,2,-1,4,1,1,2,1,1,3,2,4,4,3,5,3,13,3,1
