,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize
69,5.0,5.0,1.0,2.0,5.0,5.0,1.0,2.0,4.0,1.0,2.0,5.0,5.0,1.0,5.0,2.0,5.0,5.0,5.0,4.0,7,7,5,2,7,6,7,3,7,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,2,3,2,2,24,1,2,1,70,1,1,2
70,5.0,4.0,4.0,2.0,5.0,1.0,1.0,5.0,3.0,2.0,2.0,4.0,5.0,1.0,4.0,5.0,1.0,5.0,5.0,1.0,5,5,7,3,7,3,7,1,6,2,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,3,3,1,1,37,1,3,1,70,1,1,2
71,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,1.0,5,5,6,6,6,5,4,4,6,5,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,3,1,2,1,21,1,4,1,60,1,1,1
72,1.0,1.0,5.0,5.0,3.0,5.0,5.0,2.0,5.0,5.0,1.0,3.0,1.0,3.0,1.0,5.0,2.0,1.0,5.0,1.0,5,1,7,4,7,6,7,2,6,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,4,2,2,1,52,1,7,5,60,1,3,5
73,5.0,4.0,3.0,1.0,5.0,4.0,3.0,4.0,3.0,3.0,1.0,4.0,5.0,1.0,3.0,1.0,1.0,4.0,5.0,2.0,2,5,5,5,6,7,5,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,24,1,9,1,70,1,1,1
74,1.0,4.0,5.0,5.0,4.0,4.0,2.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,4.0,1.0,4.0,4.0,4.0,1.0,5,3,5,5,6,2,6,2,6,6,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,4,2,1,2,32,1,4,1,60,1,1,1
75,5.0,4.0,2.0,3.0,1.0,4.0,1.0,4.0,5.0,2.0,1.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,5,6,7,5,5,7,7,1,7,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,4,2,1,2,47,1,10,1,60,2,3,4
76,4.0,4.0,1.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,1.0,5.0,4.0,1.0,3.0,5.0,3.0,2,6,3,3,7,6,5,6,7,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,1,2,21,1,2,1,60,2,1,2
77,1.0,1.0,3.0,5.0,1.0,5.0,5.0,2.0,5.0,1.0,5.0,2.0,1.0,5.0,1.0,5.0,3.0,1.0,5.0,1.0,5,1,7,6,7,3,7,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,53,1,1,1,60,1,3,5
78,1.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,2.0,2.0,1.0,3.0,1.0,5.0,1.0,1.0,3.0,1.0,1,2,6,1,7,4,3,5,4,2,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,3,1,2,45,1,2,1,60,1,2,2
79,4.0,4.0,1.0,3.0,4.0,1.0,2.0,5.0,2.0,1.0,1.0,5.0,4.0,1.0,4.0,1.0,1.0,4.0,5.0,2.0,6,5,3,1,7,7,5,2,7,2,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,2,1,1,34,1,2,1,60,1,2,1
80,2.0,5.0,4.0,1.0,5.0,2.0,1.0,2.0,5.0,5.0,1.0,5.0,1.0,1.0,4.0,5.0,1.0,5.0,5.0,1.0,1,7,6,5,6,7,2,5,7,2,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,3,2,1,1,21,1,2,2,60,1,1,2
